Расчет 1			Расчет 2			Расчет 3			Расчет 4			Расчет 5			Расчет 6			Расчет 7			Расчет 8			Расчет 9			Расчет 10			Расчет 11			Расчет 12			Расчет 13			Расчет 14			Расчет 15			Расчет 16			Расчет 17			Расчет 18			Расчет 19			Расчет 20			Расчет 21			Расчет 22	
1,2	20,28		1,2	22,1		1,2	23,6		1,2	24,78		1,2	25,68		1,2	26,4		1,2	27,61		1,2	28,37		1,2	29,2		1,2	29,64		1,2	29,92		2	20,28		0,49	24,04		0,49	27,43		0,49	30,32		0,49	32,69		0,49	34,66		0,49	38,16		0,49	40,45		0,49	43,08		0,49	44,48		0,49	45,38
2,4	20,28		2,4	22,12		2,4	23,64		2,4	24,84		2,4	25,76		2,4	26,49		2,4	27,71		2,4	28,48		2,4	29,33		2,4	29,77		2,4	30,06		0,98	20,28		0,98	24,05		0,98	27,45		0,98	30,36		0,98	32,75		0,98	34,74		0,98	38,27		0,98	40,59		0,98	43,25		0,98	44,67		0,98	45,59
3,6	20,28		3,6	22,15		3,6	23,69		3,6	24,9		3,6	25,83		3,6	26,57		3,6	27,82		3,6	28,6		3,6	29,46		3,6	29,91		3,6	30,2		1,47	20,28		1,47	24,06		1,47	27,48		1,47	30,41		1,47	32,81		1,47	34,82		1,47	38,39		1,47	40,74		1,47	43,43		1,47	44,87		1,47	45,79
4,8	20,28		4,8	22,17		4,8	23,73		4,8	24,96		4,8	25,91		4,8	26,66		4,8	27,92		4,8	28,71		4,8	29,59		4,8	30,05		4,8	30,34		1,96	20,28		1,96	24,07		1,96	27,51		1,96	30,45		1,96	32,88		1,96	34,9		1,96	38,51		1,96	40,88		1,96	43,61		1,96	45,06		1,96	46
6	20,28		6	22,2		6	23,78		6	25,03		6	25,98		6	26,75		6	28,03		6	28,83		6	29,72		6	30,19		6	30,48		2,45	20,28		2,45	24,08		2,45	27,53		2,45	30,49		2,45	32,94		2,45	34,98		2,45	38,63		2,45	41,02		2,45	43,79		2,45	45,26		2,45	46,21
7,2	20,28		7,2	22,22		7,2	23,83		7,2	25,09		7,2	26,06		7,2	26,84		7,2	28,14		7,2	28,95		7,2	29,86		7,2	30,33		7,2	30,63		2,94	20,28		2,94	24,09		2,94	27,56		2,94	30,54		2,94	33		2,94	35,07		2,94	38,75		2,94	41,17		2,94	43,97		2,94	45,46		2,94	46,43
8,4	20,28		8,4	22,25		8,4	23,87		8,4	25,15		8,4	26,14		8,4	26,93		8,4	28,25		8,4	29,08		8,4	29,99		8,4	30,47		8,4	30,78		3,43	20,28		3,43	24,1		3,43	27,58		3,43	30,58		3,43	33,07		3,43	35,15		3,43	38,87		3,43	41,32		3,43	44,15		3,43	45,67		3,43	46,65
9,6	20,28		9,6	22,27		9,6	23,92		9,6	25,22		9,6	26,22		9,6	27,02		9,6	28,36		9,6	29,2		9,6	30,13		9,6	30,62		9,6	30,93		3,92	20,28		3,92	24,11		3,92	27,61		3,92	30,63		3,92	33,13		3,92	35,23		3,92	38,99		3,92	41,47		3,92	44,34		3,92	45,88		3,92	46,87
10,8	20,28		10,8	22,3		10,8	23,97		10,8	25,29		10,8	26,3		10,8	27,11		10,8	28,47		10,8	29,33		10,8	30,27		10,8	30,77		10,8	31,09		4,41	20,28		4,41	24,12		4,41	27,63		4,41	30,67		4,41	33,19		4,41	35,31		4,41	39,11		4,41	41,62		4,41	44,53		4,41	46,09		4,41	47,09
12	20,28		12	22,33		12	24,02		12	25,36		12	26,39		12	27,21		12	28,59		12	29,46		12	30,42		12	30,92		12	31,24		4,9	20,28		4,9	24,13		4,9	27,66		4,9	30,72		4,9	33,26		4,9	35,4		4,9	39,23		4,9	41,78		4,9	44,72		4,9	46,3		4,9	47,32
