расчет 1 # BETA_CRUST = 2, BETA_MANTLE = 3
Возраст_Ma	Q_mW/m2
130	20,22
129	21,78
128	23,51
127	25,44
126	27,75
125	30,42
124	33,48
123	36,91
122	40,69
121	44,81
120	49,21
118,8	49,68
117,6	49,95
116,4	50,06
115,2	50,04
114	49,94
112,8	49,76
111,6	49,52
110,4	49,24
109,2	48,93
108	48,59
106,8	48,23
105,6	47,86
104,4	47,48
103,2	47,09
102	46,7
100,8	46,3
99,6	45,91
98,4	45,52
97,2	45,13
96	44,74
94,8	44,36
93,6	43,98
92,4	43,6
91,2	43,24
90	42,87
88,8	42,52
87,6	42,17
86,4	41,82
85,2	41,48
84	41,15
82,8	40,82
81,6	40,5
80,4	40,19
79,2	39,88
78	39,58
76,8	39,28
75,6	38,99
74,4	38,7
73,2	38,42
72	38,14
70,8	37,87
69,6	37,6
68,4	37,34
67,2	37,09
66	36,83
64,8	36,59
63,6	36,35
62,4	36,11
61,2	35,87
60	35,64
58,8	35,42
57,6	35,2
56,4	34,98
55,2	34,76
54	34,55
52,8	34,35
51,6	34,14
50,4	33,94
49,2	33,75
48	33,55
46,8	33,36
45,6	33,18
44,4	32,99
43,2	32,81
42	32,63
40,8	32,46
39,6	32,28
38,4	32,12
37,2	31,95
36	31,78
34,8	31,62
33,6	31,46
32,4	31,31
31,2	31,15
30	31
28,8	30,85
27,6	30,7
26,4	30,56
25,2	30,42
24	30,27
22,8	30,14
21,6	30
20,4	29,86
19,2	29,73
18	29,6
16,8	29,47
15,6	29,35
14,4	29,22
13,2	29,1
12	28,98
10,8	28,86
9,6	28,74
8,4	28,62
7,2	28,51
6	28,39
4,8	28,28
3,6	28,17
2,4	28,07
1,2	27,96

расчет 2 # BETA_CRUST = 1.5, BETA_MANTLE = 3
Возраст_Ma	Q_mW/m2
130	20,22
129	21,12
128	22,11
127	23,23
126	24,48
125	25,96
124	27,85
123	30,13
122	32,78
121	35,76
120	39,05
118,8	40,32
117,6	41,29
116,4	42,02
115,2	42,57
114	42,97
112,8	43,24
111,6	43,41
110,4	43,5
109,2	43,52
108	43,49
106,8	43,41
105,6	43,29
104,4	43,14
103,2	42,97
102	42,78
100,8	42,57
99,6	42,35
98,4	42,11
97,2	41,87
96	41,62
94,8	41,37
93,6	41,11
92,4	40,85
91,2	40,59
90	40,32
88,8	40,06
87,6	39,8
86,4	39,54
85,2	39,28
84	39,02
82,8	38,76
81,6	38,51
80,4	38,26
79,2	38,01
78	37,76
76,8	37,52
75,6	37,28
74,4	37,04
73,2	36,81
72	36,57
70,8	36,35
69,6	36,12
68,4	35,9
67,2	35,68
66	35,46
64,8	35,25
63,6	35,04
62,4	34,84
61,2	34,63
60	34,43
58,8	34,23
57,6	34,04
56,4	33,85
55,2	33,66
54	33,47
52,8	33,29
51,6	33,11
50,4	32,93
49,2	32,76
48	32,58
46,8	32,41
45,6	32,25
44,4	32,08
43,2	31,92
42	31,76
40,8	31,6
39,6	31,44
38,4	31,29
37,2	31,14
36	30,99
34,8	30,84
33,6	30,7
32,4	30,55
31,2	30,41
30	30,27
28,8	30,14
27,6	30
26,4	29,87
25,2	29,74
24	29,61
22,8	29,48
21,6	29,36
20,4	29,23
19,2	29,11
18	28,99
16,8	28,87
15,6	28,75
14,4	28,64
13,2	28,52
12	28,41
10,8	28,3
9,6	28,19
8,4	28,08
7,2	27,98
6	27,87
4,8	27,77
3,6	27,67
2,4	27,57
1,2	27,47

расчет 3 # BETA_CRUST = 3, BETA_MANTLE = 4
Возраст_Ma	Q_mW/m2
130	20,22
129	22,79
128	25,75
127	29,27
126	33,41
125	38,19
124	43,59
123	49,6
122	58
121	66,87
120	76,05
118,8	74,94
117,6	73,78
116,4	72,58
115,2	71,38
114	70,18
112,8	69
111,6	67,84
